bank_id,bank_name,region,bank_size,lending_style,total_assets,total_equity,total_loans,current_deposits,liquidity_ratio,capital_adequacy_ratio,npl_ratio,loan_to_deposit_ratio,return_on_equity,return_on_assets,net_interest_margin,cost_to_income_ratio,actual_status_label,predicted_status_label,risk_probability,risk_category,prediction_correct
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,44.47,7.57,13.95,34.01,17.97,17.01,7.77,41.01,28.66,4.88,3.74,91.57,Healthy,Healthy,0.0,Minimal Risk,1
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,9.84,0.99,3.84,7.24,42.29,10.02,4.07,53.04,42.61,4.27,3.46,68.21,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,49.08,7.51,23.0,37.06,26.91,15.3,9.88,62.07,27.73,4.24,2.7,47.62,Healthy,Healthy,0.0,Minimal Risk,1
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,340.98,29.62,153.85,242.91,34.92,8.69,3.39,63.34,67.12,5.83,8.67,46.6,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,298.31,45.35,143.12,251.19,31.71,15.2,3.67,56.98,38.67,5.88,4.27,65.27,Healthy,Healthy,0.0,Minimal Risk,1
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,54.27,9.95,33.81,38.52,36.39,18.34,0.8,87.77,9.15,1.68,5.41,41.09,Healthy,Healthy,0.0,Minimal Risk,1
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,37.43,4.45,17.75,30.65,23.09,11.89,6.92,57.92,37.54,4.46,11.07,68.55,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,Conservative,214.71,43.46,78.46,172.46,37.99,20.24,0.29,45.49,28.57,5.78,2.31,51.47,Healthy,Healthy,0.0,Minimal Risk,1
BANK_009,Garcia-James Rural Bank,Western,Medium,Conservative,81.3,13.93,42.77,62.56,41.16,17.14,1.84,68.36,23.44,4.02,2.61,77.0,Healthy,Healthy,0.0,Minimal Risk,1
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,Moderate,1322.15,116.9,925.25,1096.32,39.45,8.84,10.23,84.4,23.32,2.06,7.47,75.56,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_011,Blair PLC Rural Bank,Ashanti,Small,Moderate,67.37,5.81,30.84,50.89,21.29,8.63,15.25,60.6,59.12,5.1,10.42,71.08,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,Aggressive,131.68,25.86,87.47,98.22,9.8,19.64,26.59,89.05,16.22,3.19,2.55,34.86,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_013,Arnold Ltd Rural Bank,Northern,Small,Moderate,10.54,0.85,3.81,7.76,34.35,8.08,6.13,49.07,68.65,5.54,3.89,33.91,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,Aggressive,104.82,10.92,62.37,75.42,17.0,10.42,26.98,82.7,40.89,4.26,5.41,33.41,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_015,Williams and Sons Rural Bank,Upper East,Large,Moderate,737.62,214.1,360.65,590.05,31.34,29.03,7.98,61.12,17.62,5.11,11.77,35.7,Healthy,Healthy,0.0,Minimal Risk,1
BANK_016,Galloway-Wyatt Rural Bank,Eastern,Small,Moderate,33.22,4.81,10.77,26.01,27.79,14.49,13.39,41.42,10.63,1.54,11.18,83.45,Healthy,Healthy,0.0,Minimal Risk,1
BANK_017,James Group Rural Bank,Northern,Medium,Moderate,139.31,24.14,65.61,113.5,26.05,17.33,14.77,57.81,28.14,4.87,11.03,82.81,Healthy,Healthy,0.0,Minimal Risk,1
BANK_018,"Flowers, Martin and Kelly Rural Bank",Ashanti,Small,Moderate,45.69,12.32,34.33,37.16,19.77,26.95,4.74,92.39,11.99,3.23,10.3,56.73,Healthy,Healthy,0.0,Minimal Risk,1
BANK_019,"Adams, Zuniga and Wong Rural Bank",Greater Accra,Small,Conservative,19.98,2.46,6.26,14.51,39.7,12.3,8.37,43.15,12.38,1.52,3.21,41.95,Healthy,Healthy,0.01,Minimal Risk,1
BANK_020,"Reid, Ferguson and Sanchez Rural Bank",Greater Accra,Medium,Conservative,139.29,19.95,84.83,106.77,24.28,14.33,2.15,79.45,30.56,4.38,10.64,57.75,Healthy,Healthy,0.0,Minimal Risk,1
BANK_021,Gray-Mayo Rural Bank,Northern,Small,Moderate,15.29,1.74,9.73,12.98,28.42,11.39,9.18,74.96,27.96,3.18,3.37,83.05,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_022,"Watts, Robinson and Nguyen Rural Bank",Central,Large,Aggressive,472.59,98.39,221.0,331.85,5.11,20.82,16.07,66.6,25.89,5.39,7.74,84.13,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_023,Perez Inc Rural Bank,Ashanti,Medium,Conservative,44.13,12.36,14.55,33.99,43.13,28.01,4.0,42.79,14.83,4.16,9.15,49.92,Healthy,Healthy,0.0,Minimal Risk,1
