bank_id,bank_name,region,bank_size,year,quarter,quarter_num,date,total_assets,liquidity_ratio,capital_adequacy_ratio,npl_ratio,return_on_equity,loan_to_deposit_ratio,financial_health_status,status_label
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2021,Q1,1,2021-Q1,47.72,18.24,16.73,6.24,30.85,47.43,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2021,Q2,2,2021-Q2,49.23,17.77,17.0,6.48,26.32,44.18,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2021,Q3,3,2021-Q3,44.0,16.88,17.0,6.95,36.58,75.57,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2021,Q4,4,2021-Q4,47.6,17.02,16.94,7.31,22.31,43.02,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2022,Q1,5,2022-Q1,51.87,17.36,17.02,7.43,6.05,68.61,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2022,Q2,6,2022-Q2,54.14,17.14,16.93,7.33,5.5,54.94,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2022,Q3,7,2022-Q3,53.21,17.22,16.88,7.37,32.34,83.89,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2022,Q4,8,2022-Q4,48.53,17.07,16.86,7.54,22.31,85.44,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2023,Q1,9,2023-Q1,42.73,16.83,16.71,7.76,13.64,66.22,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2023,Q2,10,2023-Q2,43.55,16.88,16.88,7.98,31.43,71.42,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2023,Q3,11,2023-Q3,43.43,17.32,16.98,7.84,21.76,92.87,0,Healthy
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,2023,Q4,12,2023-Q4,44.47,17.97,17.01,7.77,28.66,41.01,0,Healthy
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2021,Q1,1,2021-Q1,7.61,34.86,9.64,3.57,13.67,94.46,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2021,Q2,2,2021-Q2,7.66,35.44,9.75,3.57,59.83,56.41,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2021,Q3,3,2021-Q3,7.22,35.95,9.64,3.65,38.82,81.02,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2021,Q4,4,2021-Q4,6.89,37.21,9.73,3.85,22.35,93.21,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2022,Q1,5,2022-Q1,7.72,38.06,9.69,3.96,47.43,93.61,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2022,Q2,6,2022-Q2,8.34,39.29,9.63,3.94,20.61,43.98,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2022,Q3,7,2022-Q3,9.17,39.84,9.76,3.98,34.96,56.44,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2022,Q4,8,2022-Q4,9.12,39.79,9.72,4.09,57.22,75.77,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2023,Q1,9,2023-Q1,8.97,39.36,9.72,4.14,31.36,52.13,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2023,Q2,10,2023-Q2,8.79,40.46,9.73,4.25,28.93,73.34,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2023,Q3,11,2023-Q3,8.68,40.73,9.87,4.12,38.54,62.72,1,High-Risk
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,2023,Q4,12,2023-Q4,9.84,42.29,10.02,4.07,42.61,53.04,1,High-Risk
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2021,Q1,1,2021-Q1,32.25,26.16,15.85,8.36,7.18,83.0,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2021,Q2,2,2021-Q2,35.08,26.33,15.97,8.49,16.95,66.39,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2021,Q3,3,2021-Q3,36.09,25.2,15.84,8.76,6.86,52.9,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2021,Q4,4,2021-Q4,36.74,24.62,15.86,8.77,33.75,76.68,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2022,Q1,5,2022-Q1,37.35,25.34,15.98,8.75,16.23,88.28,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2022,Q2,6,2022-Q2,37.55,26.58,15.97,8.79,32.49,49.26,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2022,Q3,7,2022-Q3,40.01,27.54,15.62,8.81,36.75,79.35,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2022,Q4,8,2022-Q4,40.51,26.24,15.66,9.38,33.77,69.27,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2023,Q1,9,2023-Q1,39.88,28.06,15.64,9.45,26.7,60.54,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2023,Q2,10,2023-Q2,41.26,26.94,15.71,9.55,33.98,84.52,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2023,Q3,11,2023-Q3,45.09,27.98,15.5,9.74,29.05,47.8,0,Healthy
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,2023,Q4,12,2023-Q4,49.08,26.91,15.3,9.88,27.73,62.07,0,Healthy
BANK_004,Davis and Sons Rural Bank,Volta,Large,2021,Q1,1,2021-Q1,314.19,34.51,9.15,3.57,63.07,59.96,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2021,Q2,2,2021-Q2,290.73,35.53,9.1,3.61,15.4,93.58,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2021,Q3,3,2021-Q3,305.43,34.29,9.06,3.55,61.83,60.95,1,High-Risk
