Region,Total_Banks,Total_Assets,Avg_Liquidity_Ratio,Avg_Capital_Adequacy,Avg_NPL_Ratio,Avg_ROE,High_Risk_Banks,Healthy_Banks,High_Risk_Percentage
Bono,8,952.98,25.51,18.83,12.48,20.82,4,4,50.0
Greater Accra,46,6496.41,25.63,18.26,10.8,21.55,21,25,45.65
Upper West,11,1373.18,19.88,20.46,11.05,20.03,5,6,45.45
Volta,12,2893.36,27.25,19.13,9.02,25.84,5,7,41.67
Central,20,4610.56,24.15,19.08,9.55,24.98,8,12,40.0
Northern,17,2285.44,24.54,19.3,11.82,21.45,6,11,35.29
Ashanti,36,5166.05,27.04,18.48,8.19,23.01,11,25,30.56
Eastern,37,4453.28,25.99,18.84,10.83,21.19,11,26,29.73
Western,21,3655.29,24.44,16.84,8.42,19.53,6,15,28.57
Upper East,16,2911.51,27.38,20.58,9.72,20.41,4,12,25.0
