bank_id,bank_name,region,bank_size,lending_style,quarter_num,year,quarter,date,total_assets,total_equity,liquid_assets,total_loans,non_performing_loans,loan_loss_provisions,current_deposits,liquidity_ratio,capital_adequacy_ratio,cash_reserve_ratio,leverage_ratio,loan_to_deposit_ratio,npl_ratio,net_income,return_on_assets,return_on_equity,net_interest_margin,operating_expenses,cost_to_income_ratio,staff_count,branches,concentration_risk,deposit_volatility,financial_health_status,consecutive_losses,risk_reasons
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,1,2021,Q1,2021-Q1,47.72,7.98,8.7,17.48,1.09,0.96,36.87,18.24,16.73,22.31,19.31,47.43,6.24,2.46,5.16,30.85,11.55,1.8,70.52,57.0,6.0,30.82,17.38,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,2,2021,Q2,2021-Q2,49.23,8.37,8.75,15.48,1.0,1.18,35.03,17.77,17.0,21.43,11.9,44.18,6.48,2.2,4.47,26.32,7.21,1.69,92.28,80.0,10.0,49.16,26.72,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,3,2021,Q3,2021-Q3,44.0,7.48,7.43,26.73,1.86,0.99,35.37,16.88,17.0,18.0,18.55,75.57,6.95,2.74,6.22,36.58,7.56,2.36,50.34,29.0,11.0,23.67,8.46,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,4,2021,Q4,2021-Q4,47.6,8.06,8.1,15.73,1.15,1.1,36.57,17.02,16.94,14.2,16.18,43.02,7.31,1.8,3.78,22.31,6.81,3.53,64.47,55.0,7.0,40.76,29.12,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,5,2022,Q1,2022-Q1,51.87,8.83,9.01,27.19,2.02,1.66,39.63,17.36,17.02,24.84,16.07,68.61,7.43,0.53,1.03,6.05,3.85,2.55,90.62,25.0,2.0,17.37,7.66,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,6,2022,Q2,2022-Q2,54.14,9.16,9.28,22.6,1.66,1.44,41.13,17.14,16.93,20.45,13.71,54.94,7.33,0.5,0.93,5.5,6.67,2.43,85.43,77.0,9.0,,32.31,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,7,2022,Q3,2022-Q3,53.21,8.98,9.16,32.98,2.43,2.72,39.31,17.22,16.88,18.21,19.35,83.89,7.37,2.91,5.46,32.34,11.89,3.57,34.22,52.0,12.0,25.38,29.92,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,8,2022,Q4,2022-Q4,48.53,8.18,8.28,34.01,2.57,2.21,39.8,17.07,16.86,18.15,19.36,85.44,7.54,1.83,3.76,22.31,4.6,2.71,61.93,99.0,13.0,35.85,23.69,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,9,2023,Q1,2023-Q1,42.73,7.14,7.19,20.0,1.55,1.57,30.2,16.83,16.71,12.78,9.09,66.22,7.76,0.97,2.28,13.64,2.05,2.77,33.17,62.0,14.0,19.93,31.83,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,10,2023,Q2,2023-Q2,43.55,7.35,7.35,24.86,1.98,2.01,34.81,16.88,16.88,16.86,18.6,71.42,7.98,2.31,5.31,31.43,4.45,1.65,40.43,46.0,5.0,56.85,8.18,0,0,
